game_id,event_num,event_msg_type,period,wc_time,pc_time,action_type,option1,option2,option3,team_id,person1,person2,person3,team_id_type,person1_type,person2_type,person3_type
f280a671f82eb32b48f00116b8956445,2,12,1,547160,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0,0,0,0
f280a671f82eb32b48f00116b8956445,4,10,1,547170,7200,0,0,0,0,dc0f916810cb46c22beec67a860e00b4,bca65b4d1889c9c4c97d5dfa6efb117b,8c646f2710d4f64955903039fdc6374e,87d5036c732e89f1d2566f24b5c17113,3,4,5,5
f280a671f82eb32b48f00116b8956445,7,2,1,547300,7050,1,3,0,0,012059d397c0b7e5a30a5bb89c0b075e,4b35bf5cc8eebb940aa41c466bff7277,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
f280a671f82eb32b48f00116b8956445,8,4,1,547320,7040,0,0,0,0,dc0f916810cb46c22beec67a860e00b4,06a5ada03328fca808144c85a73fd06b,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,7040,0,0,0,0,0,0,0,0,0,0,0,0
f280a671f82eb32b48f00116b8956445,9,1,1,547410,6940,1,3,0,0,dc0f916810cb46c22beec67a860e00b4,ee4f215cca5f13013a4925b66d1e1a4d,25cf5e1780ec195d1b11660bb9f10689,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
0,0,0,0,0,6940,0,0,0,0,0,0,0,0,0,0,0,0
f280a671f82eb32b48f00116b8956445,11,2,1,547560,6780,6,2,0,0,012059d397c0b7e5a30a5bb89c0b075e,87d5036c732e89f1d2566f24b5c17113,0370a0d090da0d0edc6319f120187e0e,bca65b4d1889c9c4c97d5dfa6efb117b,3,5,0,4
f280a671f82eb32b48f00116b8956445,13,4,1,547590,6750,0,0,0,0,012059d397c0b7e5a30a5bb89c0b075e,b43d8e250bbf5bf03bcbbd2f48141acd,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
f280a671f82eb32b48f00116b8956445,14,2,1,547610,6740,79,2,0,0,012059d397c0b7e5a30a5bb89c0b075e,b43d8e250bbf5bf03bcbbd2f48141acd,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
f280a671f82eb32b48f00116b8956445,15,4,1,547630,6720,0,0,0,0,dc0f916810cb46c22beec67a860e00b4,06a5ada03328fca808144c85a73fd06b,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,6720,0,0,0,0,0,0,0,0,0,0,0,0
f280a671f82eb32b48f00116b8956445,16,5,1,547730,6710,39,0,0,0,dc0f916810cb46c22beec67a860e00b4,3624f9b65b645ac7969395f1cac609d1,0370a0d090da0d0edc6319f120187e0e,5201a0c1055bebf092c5ce178e5c7863,2,4,0,1
0,0,0,0,0,6710,0,0,0,0,0,0,0,0,0,0,0,0
f280a671f82eb32b48f00116b8956445,17,1,1,547980,6520,98,2,0,0,012059d397c0b7e5a30a5bb89c0b075e,4b35bf5cc8eebb940aa41c466bff7277,f42e50d6a567798c9540b0cf7447337e,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
0,0,0,0,0,6520,0,0,0,0,0,0,0,0,0,0,0,0
f280a671f82eb32b48f00116b8956445,19,1,1,548240,6260,1,3,0,0,dc0f916810cb46c22beec67a860e00b4,ee4f215cca5f13013a4925b66d1e1a4d,25cf5e1780ec195d1b11660bb9f10689,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
0,0,0,0,0,6260,0,0,0,0,0,0,0,0,0,0,0,0
f280a671f82eb32b48f00116b8956445,21,1,1,548410,6100,98,2,0,0,012059d397c0b7e5a30a5bb89c0b075e,b43d8e250bbf5bf03bcbbd2f48141acd,8c646f2710d4f64955903039fdc6374e,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
0,0,0,0,0,6100,0,0,0,0,0,0,0,0,0,0,0,0
f280a671f82eb32b48f00116b8956445,23,5,1,548520,5970,2,1,0,0,dc0f916810cb46c22beec67a860e00b4,3624f9b65b645ac7969395f1cac609d1,f42e50d6a567798c9540b0cf7447337e,0370a0d090da0d0edc6319f120187e0e,2,4,5,0
0,0,0,0,0,5970,0,0,0,0,0,0,0,0,0,0,0,0
f280a671f82eb32b48f00116b8956445,25,6,1,548630,5940,2,0,0,2,dc0f916810cb46c22beec67a860e00b4,25cf5e1780ec195d1b11660bb9f10689,8c646f2710d4f64955903039fdc6374e,787e82e888a994c2dfac57952a2286d4,3,4,5,1
f280a671f82eb32b48f00116b8956445,27,3,1,548890,5940,11,1,0,0,012059d397c0b7e5a30a5bb89c0b075e,8c646f2710d4f64955903039fdc6374e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
f280a671f82eb32b48f00116b8956445,28,3,1,548980,5940,12,1,0,0,012059d397c0b7e5a30a5bb89c0b075e,8c646f2710d4f64955903039fdc6374e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
0,0,0,0,0,5940,0,0,0,0,0,0,0,0,0,0,0,0
f280a671f82eb32b48f00116b8956445,29,2,1,549150,5780,1,2,0,0,dc0f916810cb46c22beec67a860e00b4,25cf5e1780ec195d1b11660bb9f10689,0370a0d090da0d0edc6319f120187e0e,8c646f2710d4f64955903039fdc6374e,2,4,0,5
